Experiment_ID,Phase,Model_Family,Model,Feature_Space,Feature_Count,Weighting,Graph_Context,Graph_Direction,Depth,Seed,Train_Timesteps,Val_Timesteps,Test_Timesteps,Validation_F1,Validation_PR_AUC,Test_F1,Test_PR_AUC,Test_Precision,Test_Recall,Test_MCC,Status,Recommended_Paper_Section,Notes
EXP_045,Phase 2 (Baselines),Linear Model,Logistic Regression,Full Features (165),165,Standard,None (Tabular),None (Tabular),N/A,999,1–34,35–39,40–49,0.5921,0.4826,0.4015,0.2754,0.3821,0.423,0.364,MAIN_RESULT,Section 4 (Main Model Comparison),Conventional baseline run (Seed 999)
EXP_046,Phase 2 (Baselines),Linear Model,Logistic Regression,Full Features (165),165,Weighted,None (Tabular),None (Tabular),N/A,42,1–34,35–39,40–49,0.5527,0.4366,0.348,0.2197,0.2678,0.4969,0.3128,SENSITIVITY_ANALYSIS,Section 5 (Class Weighting Sensitivity),Conventional baseline run (Seed 42)
EXP_047,Phase 2 (Baselines),Linear Model,Logistic Regression,Full Features (165),165,Weighted,None (Tabular),None (Tabular),N/A,123,1–34,35–39,40–49,0.5527,0.4366,0.348,0.2197,0.2678,0.4969,0.3128,SENSITIVITY_ANALYSIS,Section 5 (Class Weighting Sensitivity),Conventional baseline run (Seed 123)
EXP_048,Phase 2 (Baselines),Linear Model,Logistic Regression,Full Features (165),165,Weighted,None (Tabular),None (Tabular),N/A,456,1–34,35–39,40–49,0.5527,0.4366,0.348,0.2197,0.2678,0.4969,0.3128,SENSITIVITY_ANALYSIS,Section 5 (Class Weighting Sensitivity),Conventional baseline run (Seed 456)
EXP_049,Phase 2 (Baselines),Linear Model,Logistic Regression,Full Features (165),165,Weighted,None (Tabular),None (Tabular),N/A,789,1–34,35–39,40–49,0.5527,0.4366,0.348,0.2197,0.2678,0.4969,0.3128,SENSITIVITY_ANALYSIS,Section 5 (Class Weighting Sensitivity),Conventional baseline run (Seed 789)
EXP_050,Phase 2 (Baselines),Linear Model,Logistic Regression,Full Features (165),165,Weighted,None (Tabular),None (Tabular),N/A,999,1–34,35–39,40–49,0.5527,0.4366,0.348,0.2197,0.2678,0.4969,0.3128,SENSITIVITY_ANALYSIS,Section 5 (Class Weighting Sensitivity),Conventional baseline run (Seed 999)
EXP_051,Phase 2 (Baselines),Tree Ensemble,Random Forest,Full Features (165),165,Standard,None (Tabular),None (Tabular),N/A,42,1–34,35–39,40–49,0.952,0.9551,0.726,0.6595,0.9611,0.5833,0.7383,MAIN_RESULT,Section 4 (Main Model Comparison),Conventional baseline run (Seed 42)
EXP_052,Phase 2 (Baselines),Tree Ensemble,Random Forest,Full Features (165),165,Standard,None (Tabular),None (Tabular),N/A,123,1–34,35–39,40–49,0.9503,0.9548,0.7227,0.6597,0.9373,0.5881,0.7313,MAIN_RESULT,Section 4 (Main Model Comparison),Conventional baseline run (Seed 123)
EXP_053,Phase 2 (Baselines),Tree Ensemble,Random Forest,Full Features (165),165,Standard,None (Tabular),None (Tabular),N/A,456,1–34,35–39,40–49,0.9461,0.9562,0.7267,0.6636,0.9813,0.577,0.7425,MAIN_RESULT,Section 4 (Main Model Comparison),Conventional baseline run (Seed 456)
EXP_054,Phase 2 (Baselines),Tree Ensemble,Random Forest,Full Features (165),165,Standard,None (Tabular),None (Tabular),N/A,789,1–34,35–39,40–49,0.9487,0.956,0.7209,0.6564,0.9394,0.5849,0.7301,MAIN_RESULT,Section 4 (Main Model Comparison),Conventional baseline run (Seed 789)
EXP_055,Phase 2 (Baselines),Tree Ensemble,Random Forest,Full Features (165),165,Standard,None (Tabular),None (Tabular),N/A,999,1–34,35–39,40–49,0.9475,0.9544,0.7271,0.6602,0.9736,0.5802,0.7414,MAIN_RESULT,Section 4 (Main Model Comparison),Conventional baseline run (Seed 999)
EXP_056,Phase 2 (Baselines),Tree Ensemble,Random Forest,Full Features (165),165,Weighted,None (Tabular),None (Tabular),N/A,42,1–34,35–39,40–49,0.9358,0.9508,0.7006,0.6591,0.8732,0.5849,0.7015,SENSITIVITY_ANALYSIS,Section 5 (Class Weighting Sensitivity),Conventional baseline run (Seed 42)
EXP_057,Phase 2 (Baselines),Tree Ensemble,Random Forest,Full Features (165),165,Weighted,None (Tabular),None (Tabular),N/A,123,1–34,35–39,40–49,0.939,0.9512,0.6979,0.6635,0.8651,0.5849,0.6979,SENSITIVITY_ANALYSIS,Section 5 (Class Weighting Sensitivity),Conventional baseline run (Seed 123)
EXP_058,Phase 2 (Baselines),Tree Ensemble,Random Forest,Full Features (165),165,Weighted,None (Tabular),None (Tabular),N/A,456,1–34,35–39,40–49,0.9382,0.9533,0.6998,0.661,0.8674,0.5865,0.6999,SENSITIVITY_ANALYSIS,Section 5 (Class Weighting Sensitivity),Conventional baseline run (Seed 456)
EXP_059,Phase 2 (Baselines),Tree Ensemble,Random Forest,Full Features (165),165,Weighted,None (Tabular),None (Tabular),N/A,789,1–34,35–39,40–49,0.9421,0.9552,0.711,0.6642,0.9179,0.5802,0.7179,SENSITIVITY_ANALYSIS,Section 5 (Class Weighting Sensitivity),Conventional baseline run (Seed 789)
EXP_060,Phase 2 (Baselines),Tree Ensemble,Random Forest,Full Features (165),165,Weighted,None (Tabular),None (Tabular),N/A,999,1–34,35–39,40–49,0.9379,0.9531,0.7029,0.6608,0.8913,0.5802,0.7064,SENSITIVITY_ANALYSIS,Section 5 (Class Weighting Sensitivity),Conventional baseline run (Seed 999)
EXP_061,Phase 2 (Baselines),Gradient Boosting,XGBoost,Full Features (165),165,Standard,None (Tabular),None (Tabular),N/A,42,1–34,35–39,40–49,0.9369,0.9579,0.6984,0.6736,0.8843,0.577,0.7014,MAIN_RESULT,Section 4 (Main Model Comparison),Conventional baseline run (Seed 42)
EXP_062,Phase 2 (Baselines),Gradient Boosting,XGBoost,Full Features (165),165,Standard,None (Tabular),None (Tabular),N/A,123,1–34,35–39,40–49,0.9438,0.9594,0.7209,0.6723,0.9394,0.5849,0.7301,MAIN_RESULT,Section 4 (Main Model Comparison),Conventional baseline run (Seed 123)
EXP_063,Phase 2 (Baselines),Gradient Boosting,XGBoost,Full Features (165),165,Standard,None (Tabular),None (Tabular),N/A,456,1–34,35–39,40–49,0.933,0.9582,0.7039,0.672,0.863,0.5943,0.7028,MAIN_RESULT,Section 4 (Main Model Comparison),Conventional baseline run (Seed 456)
EXP_064,Phase 2 (Baselines),Gradient Boosting,XGBoost,Full Features (165),165,Standard,None (Tabular),None (Tabular),N/A,789,1–34,35–39,40–49,0.9394,0.9614,0.7201,0.6757,0.9325,0.5865,0.7282,MAIN_RESULT,Section 4 (Main Model Comparison),Conventional baseline run (Seed 789)
EXP_065,Phase 2 (Baselines),Gradient Boosting,XGBoost,Full Features (165),165,Standard,None (Tabular),None (Tabular),N/A,999,1–34,35–39,40–49,0.9461,0.9606,0.7223,0.6786,0.9442,0.5849,0.7321,MAIN_RESULT,Section 4 (Main Model Comparison),Conventional baseline run (Seed 999)
EXP_066,Phase 2 (Baselines),Gradient Boosting,XGBoost,Full Features (165),165,Weighted,None (Tabular),None (Tabular),N/A,42,1–34,35–39,40–49,0.942,0.9587,0.7262,0.6772,0.9333,0.5943,0.7336,SENSITIVITY_ANALYSIS,Section 5 (Class Weighting Sensitivity),Conventional baseline run (Seed 42)
EXP_067,Phase 2 (Baselines),Gradient Boosting,XGBoost,Full Features (165),165,Weighted,None (Tabular),None (Tabular),N/A,123,1–34,35–39,40–49,0.9426,0.962,0.7234,0.6718,0.9397,0.5881,0.7323,SENSITIVITY_ANALYSIS,Section 5 (Class Weighting Sensitivity),Conventional baseline run (Seed 123)
EXP_068,Phase 2 (Baselines),Gradient Boosting,XGBoost,Full Features (165),165,Weighted,None (Tabular),None (Tabular),N/A,456,1–34,35–39,40–49,0.9406,0.9577,0.723,0.6664,0.9466,0.5849,0.7331,SENSITIVITY_ANALYSIS,Section 5 (Class Weighting Sensitivity),Conventional baseline run (Seed 456)
EXP_069,Phase 2 (Baselines),Gradient Boosting,XGBoost,Full Features (165),165,Weighted,None (Tabular),None (Tabular),N/A,789,1–34,35–39,40–49,0.941,0.9588,0.7075,0.6734,0.8844,0.5896,0.7094,SENSITIVITY_ANALYSIS,Section 5 (Class Weighting Sensitivity),Conventional baseline run (Seed 789)
EXP_070,Phase 2 (Baselines),Gradient Boosting,XGBoost,Full Features (165),165,Weighted,None (Tabular),None (Tabular),N/A,999,1–34,35–39,40–49,0.9419,0.9582,0.7182,0.6729,0.9148,0.5912,0.7236,SENSITIVITY_ANALYSIS,Section 5 (Class Weighting Sensitivity),Conventional baseline run (Seed 999)
EXP_071,Phase 2 (Baselines),Neural Network,MLP,Full Features (165),165,Standard,None (Tabular),None (Tabular),2 Dense,42,1–34,35–39,40–49,0.8528,0.8634,0.5989,0.5093,0.7572,0.4953,0.5944,MAIN_RESULT,Section 4 (Main Model Comparison),Conventional baseline run (Seed 42)
EXP_072,Phase 2 (Baselines),Neural Network,MLP,Full Features (165),165,Standard,None (Tabular),None (Tabular),2 Dense,123,1–34,35–39,40–49,0.8377,0.8492,0.5912,0.5065,0.7043,0.5094,0.579,MAIN_RESULT,Section 4 (Main Model Comparison),Conventional baseline run (Seed 123)
EXP_073,Phase 2 (Baselines),Neural Network,MLP,Full Features (165),165,Standard,None (Tabular),None (Tabular),2 Dense,456,1–34,35–39,40–49,0.8254,0.8303,0.5832,0.5131,0.7439,0.4796,0.5787,MAIN_RESULT,Section 4 (Main Model Comparison),Conventional baseline run (Seed 456)
EXP_074,Phase 2 (Baselines),Neural Network,MLP,Full Features (165),165,Standard,None (Tabular),None (Tabular),2 Dense,789,1–34,35–39,40–49,0.7629,0.8138,0.552,0.4882,0.8,0.4214,0.5639,MAIN_RESULT,Section 4 (Main Model Comparison),Conventional baseline run (Seed 789)
EXP_075,Phase 2 (Baselines),Neural Network,MLP,Full Features (165),165,Standard,None (Tabular),None (Tabular),2 Dense,999,1–34,35–39,40–49,0.8274,0.8661,0.5986,0.5402,0.8097,0.4748,0.6038,MAIN_RESULT,Section 4 (Main Model Comparison),Conventional baseline run (Seed 999)
EXP_076,Phase 2 (Baselines),Neural Network,MLP,Full Features (165),165,Weighted,None (Tabular),None (Tabular),2 Dense,42,1–34,35–39,40–49,0.8148,0.83,0.5528,0.4848,0.7094,0.4528,0.5468,SENSITIVITY_ANALYSIS,Section 5 (Class Weighting Sensitivity),Conventional baseline run (Seed 42)
EXP_077,Phase 2 (Baselines),Neural Network,MLP,Full Features (165),165,Weighted,None (Tabular),None (Tabular),2 Dense,123,1–34,35–39,40–49,0.8398,0.8601,0.5077,0.4348,0.6575,0.4135,0.4995,SENSITIVITY_ANALYSIS,Section 5 (Class Weighting Sensitivity),Conventional baseline run (Seed 123)
EXP_078,Phase 2 (Baselines),Neural Network,MLP,Full Features (165),165,Weighted,None (Tabular),None (Tabular),2 Dense,456,1–34,35–39,40–49,0.8381,0.8504,0.561,0.494,0.7587,0.445,0.5629,SENSITIVITY_ANALYSIS,Section 5 (Class Weighting Sensitivity),Conventional baseline run (Seed 456)
EXP_079,Phase 2 (Baselines),Neural Network,MLP,Full Features (165),165,Weighted,None (Tabular),None (Tabular),2 Dense,789,1–34,35–39,40–49,0.8097,0.844,0.6045,0.5477,0.7913,0.489,0.6052,SENSITIVITY_ANALYSIS,Section 5 (Class Weighting Sensitivity),Conventional baseline run (Seed 789)
EXP_080,Phase 2 (Baselines),Neural Network,MLP,Full Features (165),165,Weighted,None (Tabular),None (Tabular),2 Dense,999,1–34,35–39,40–49,0.8245,0.8316,0.5307,0.4588,0.6992,0.4277,0.5265,SENSITIVITY_ANALYSIS,Section 5 (Class Weighting Sensitivity),Conventional baseline run (Seed 999)
EXP_081,Phase 3 (GNNs),Graph Neural Network,GCN,Local Only (93),93,Weighted (pos_weight=7.63),Retained (100% Graph),Forward (u -> v),2,42,1–34,35–39,40–49,0.3834,0.305,0.2071,0.1137,0.1519,0.3255,0.1528,ABLATION,Section 5 (Feature Space Analysis),Primary forward GNN run with full graph context (Seed 42)
EXP_082,Phase 3 (GNNs),Graph Neural Network,GCN,Local Only (93),93,Weighted (pos_weight=7.63),Retained (100% Graph),Forward (u -> v),2,123,1–34,35–39,40–49,0.5128,0.4712,0.296,0.2849,0.2398,0.3868,0.251,ABLATION,Section 5 (Feature Space Analysis),Primary forward GNN run with full graph context (Seed 123)
EXP_083,Phase 3 (GNNs),Graph Neural Network,GCN,Local Only (93),93,Weighted (pos_weight=7.63),Retained (100% Graph),Forward (u -> v),2,456,1–34,35–39,40–49,0.3828,0.4137,0.2622,0.1959,0.1884,0.4308,0.2196,ABLATION,Section 5 (Feature Space Analysis),Primary forward GNN run with full graph context (Seed 456)
EXP_084,Phase 3 (GNNs),Graph Neural Network,GCN,Local Only (93),93,Weighted (pos_weight=7.63),Retained (100% Graph),Forward (u -> v),2,789,1–34,35–39,40–49,0.532,0.4925,0.3411,0.3262,0.3252,0.3585,0.2997,ABLATION,Section 5 (Feature Space Analysis),Primary forward GNN run with full graph context (Seed 789)
EXP_085,Phase 3 (GNNs),Graph Neural Network,GCN,Local Only (93),93,Weighted (pos_weight=7.63),Retained (100% Graph),Forward (u -> v),2,999,1–34,35–39,40–49,0.3268,0.2803,0.1729,0.1452,0.0997,0.6478,0.1417,ABLATION,Section 5 (Feature Space Analysis),Primary forward GNN run with full graph context (Seed 999)
EXP_086,Phase 3 (GNNs),Graph Neural Network,GraphSAGE,Local Only (93),93,Weighted (pos_weight=7.63),Retained (100% Graph),Forward (u -> v),2,42,1–34,35–39,40–49,0.8456,0.7967,0.6252,0.5704,0.7467,0.5377,0.6155,ABLATION,Section 5 (Feature Space Analysis),Primary forward GNN run with full graph context (Seed 42)
